#B1 - Category 1
#K2 - Category 2 isteri/suami tidak bekerja
#K3 - Category 3 isteri/suami bekerja
#A1 - 1 anak
#A2 - 2 anak
min,max,B1,K2,K2A1,K2A2,K2A3,K2A4,K2A5,K2A6,K2A7,K2A8,K2A9,K2A10,K3,K3A1,K3A2,K3A3,K3A4,K3A5,K3A6,K3A7,K3A8,K3A9,K3A10
3141,3145,1.00,-,-,-,-,-,-,-,-,-,-,-,1.00,-,-,-,-,-,-,-,-,-,-
3146,3150,1.15,-,-,-,-,-,-,-,-,-,-,-,1.15,-,-,-,-,-,-,-,-,-,-
3151,3155,1.30,-,-,-,-,-,-,-,-,-,-,-,1.30,-,-,-,-,-,-,-,-,-,-
3156,3160,1.45,-,-,-,-,-,-,-,-,-,-,-,1.45,-,-,-,-,-,-,-,-,-,-
3161,3165,1.60,-,-,-,-,-,-,-,-,-,-,-,1.60,-,-,-,-,-,-,-,-,-,-
3166,3170,1.75,-,-,-,-,-,-,-,-,-,-,-,1.75,-,-,-,-,-,-,-,-,-,-
3171,3175,1.90,-,-,-,-,-,-,-,-,-,-,-,1.90,-,-,-,-,-,-,-,-,-,-
3176,3180,2.05,-,-,-,-,-,-,-,-,-,-,-,2.05,-,-,-,-,-,-,-,-,-,-
3181,3185,2.20,-,-,-,-,-,-,-,-,-,-,-,2.20,-,-,-,-,-,-,-,-,-,-
3186,3190,2.35,-,-,-,-,-,-,-,-,-,-,-,2.35,-,-,-,-,-,-,-,-,-,-
3191,3195,2.50,-,-,-,-,-,-,-,-,-,-,-,2.50,-,-,-,-,-,-,-,-,-,-
3196,3200,2.65,-,-,-,-,-,-,-,-,-,-,-,2.65,-,-,-,-,-,-,-,-,-,-
3201,3205,2.80,-,-,-,-,-,-,-,-,-,-,-,2.80,-,-,-,-,-,-,-,-,-,-
3206,3210,2.95,-,-,-,-,-,-,-,-,-,-,-,2.95,-,-,-,-,-,-,-,-,-,-
3211,3215,3.10,-,-,-,-,-,-,-,-,-,-,-,3.10,-,-,-,-,-,-,-,-,-,-
3216,3220,3.25,-,-,-,-,-,-,-,-,-,-,-,3.25,-,-,-,-,-,-,-,-,-,-
3221,3225,3.40,-,-,-,-,-,-,-,-,-,-,-,3.40,-,-,-,-,-,-,-,-,-,-
3226,3230,3.55,-,-,-,-,-,-,-,-,-,-,-,3.55,-,-,-,-,-,-,-,-,-,-
3231,3235,3.70,-,-,-,-,-,-,-,-,-,-,-,3.70,-,-,-,-,-,-,-,-,-,-
3236,3240,3.85,-,-,-,-,-,-,-,-,-,-,-,3.85,-,-,-,-,-,-,-,-,-,-
3241,3245,4.00,-,-,-,-,-,-,-,-,-,-,-,4.00,-,-,-,-,-,-,-,-,-,-
3246,3250,4.15,-,-,-,-,-,-,-,-,-,-,-,4.15,-,-,-,-,-,-,-,-,-,-
3251,3255,4.30,-,-,-,-,-,-,-,-,-,-,-,4.30,-,-,-,-,-,-,-,-,-,-
3256,3260,4.45,-,-,-,-,-,-,-,-,-,-,-,4.45,-,-,-,-,-,-,-,-,-,-
3261,3265,4.60,-,-,-,-,-,-,-,-,-,-,-,4.60,-,-,-,-,-,-,-,-,-,-
3266,3270,4.75,-,-,-,-,-,-,-,-,-,-,-,4.75,-,-,-,-,-,-,-,-,-,-
3271,3275,4.90,-,-,-,-,-,-,-,-,-,-,-,4.90,-,-,-,-,-,-,-,-,-,-
3276,3280,5.05,-,-,-,-,-,-,-,-,-,-,-,5.05,-,-,-,-,-,-,-,-,-,-
3281,3285,5.20,-,-,-,-,-,-,-,-,-,-,-,5.20,-,-,-,-,-,-,-,-,-,-
3286,3290,5.35,-,-,-,-,-,-,-,-,-,-,-,5.35,-,-,-,-,-,-,-,-,-,-
3291,3295,5.50,-,-,-,-,-,-,-,-,-,-,-,5.50,-,-,-,-,-,-,-,-,-,-
3296,3300,5.65,-,-,-,-,-,-,-,-,-,-,-,5.65,-,-,-,-,-,-,-,-,-,-
3301,3305,5.80,-,-,-,-,-,-,-,-,-,-,-,5.80,-,-,-,-,-,-,-,-,-,-
3306,3310,5.95,-,-,-,-,-,-,-,-,-,-,-,5.95,-,-,-,-,-,-,-,-,-,-
3311,3315,6.10,-,-,-,-,-,-,-,-,-,-,-,6.10,1.10,-,-,-,-,-,-,-,-,-
3316,3320,6.25,-,-,-,-,-,-,-,-,-,-,-,6.25,1.25,-,-,-,-,-,-,-,-,-
3321,3325,6.40,-,-,-,-,-,-,-,-,-,-,-,6.40,1.40,-,-,-,-,-,-,-,-,-
3326,3330,6.55,-,-,-,-,-,-,-,-,-,-,-,6.55,1.55,-,-,-,-,-,-,-,-,-
3331,3335,6.70,-,-,-,-,-,-,-,-,-,-,-,6.70,1.70,-,-,-,-,-,-,-,-,-
3336,3340,6.85,-,-,-,-,-,-,-,-,-,-,-,6.85,1.85,-,-,-,-,-,-,-,-,-
3341,3345,7.00,-,-,-,-,-,-,-,-,-,-,-,7.00,2.00,-,-,-,-,-,-,-,-,-
3346,3350,7.15,-,-,-,-,-,-,-,-,-,-,-,7.15,2.15,-,-,-,-,-,-,-,-,-
3351,3355,7.30,-,-,-,-,-,-,-,-,-,-,-,7.30,2.30,-,-,-,-,-,-,-,-,-
3356,3360,7.45,-,-,-,-,-,-,-,-,-,-,-,7.45,2.45,-,-,-,-,-,-,-,-,-
3361,3365,7.60,-,-,-,-,-,-,-,-,-,-,-,7.60,2.60,-,-,-,-,-,-,-,-,-
3366,3370,7.75,-,-,-,-,-,-,-,-,-,-,-,7.75,2.75,-,-,-,-,-,-,-,-,-
3371,3375,7.90,-,-,-,-,-,-,-,-,-,-,-,7.90,2.90,-,-,-,-,-,-,-,-,-
3376,3380,8.05,-,-,-,-,-,-,-,-,-,-,-,8.05,3.05,-,-,-,-,-,-,-,-,-
3381,3385,8.20,-,-,-,-,-,-,-,-,-,-,-,8.20,3.20,-,-,-,-,-,-,-,-,-
3386,3390,8.35,-,-,-,-,-,-,-,-,-,-,-,8.35,3.35,-,-,-,-,-,-,-,-,-
3391,3395,8.50,-,-,-,-,-,-,-,-,-,-,-,8.50,3.50,-,-,-,-,-,-,-,-,-
3396,3400,8.65,-,-,-,-,-,-,-,-,-,-,-,8.65,3.65,-,-,-,-,-,-,-,-,-
3401,3405,8.80,-,-,-,-,-,-,-,-,-,-,-,8.80,3.80,-,-,-,-,-,-,-,-,-
3406,3410,8.95,-,-,-,-,-,-,-,-,-,-,-,8.95,3.95,-,-,-,-,-,-,-,-,-
3411,3415,9.10,-,-,-,-,-,-,-,-,-,-,-,9.10,4.10,-,-,-,-,-,-,-,-,-
3416,3420,9.25,-,-,-,-,-,-,-,-,-,-,-,9.25,4.25,-,-,-,-,-,-,-,-,-
3421,3425,9.40,-,-,-,-,-,-,-,-,-,-,-,9.40,4.40,-,-,-,-,-,-,-,-,-
3426,3430,9.55,-,-,-,-,-,-,-,-,-,-,-,9.55,4.55,-,-,-,-,-,-,-,-,-
3431,3435,9.70,-,-,-,-,-,-,-,-,-,-,-,9.70,4.70,-,-,-,-,-,-,-,-,-
3436,3440,9.85,-,-,-,-,-,-,-,-,-,-,-,9.85,4.85,-,-,-,-,-,-,-,-,-
3441,3445,10.00,-,-,-,-,-,-,-,-,-,-,-,10.00,5.00,-,-,-,-,-,-,-,-,-
3446,3450,10.15,-,-,-,-,-,-,-,-,-,-,-,10.15,5.15,-,-,-,-,-,-,-,-,-
3451,3455,10.30,-,-,-,-,-,-,-,-,-,-,-,10.30,5.30,-,-,-,-,-,-,-,-,-
3456,3460,10.45,-,-,-,-,-,-,-,-,-,-,-,10.45,5.45,-,-,-,-,-,-,-,-,-
3461,3465,10.60,-,-,-,-,-,-,-,-,-,-,-,10.60,5.60,-,-,-,-,-,-,-,-,-
3466,3470,10.75,-,-,-,-,-,-,-,-,-,-,-,10.75,5.75,-,-,-,-,-,-,-,-,-
3471,3475,10.90,-,-,-,-,-,-,-,-,-,-,-,10.90,5.90,-,-,-,-,-,-,-,-,-
3476,3480,11.05,-,-,-,-,-,-,-,-,-,-,-,11.05,6.05,1.05,-,-,-,-,-,-,-,-
3481,3485,11.20,-,-,-,-,-,-,-,-,-,-,-,11.20,6.20,1.20,-,-,-,-,-,-,-,-
3486,3490,11.35,-,-,-,-,-,-,-,-,-,-,-,11.35,6.35,1.35,-,-,-,-,-,-,-,-
3491,3495,11.50,-,-,-,-,-,-,-,-,-,-,-,11.50,6.50,1.50,-,-,-,-,-,-,-,-
3496,3500,11.65,-,-,-,-,-,-,-,-,-,-,-,11.65,6.65,1.65,-,-,-,-,-,-,-,-
3501,3505,11.80,-,-,-,-,-,-,-,-,-,-,-,11.80,6.80,1.80,-,-,-,-,-,-,-,-
3506,3510,11.95,-,-,-,-,-,-,-,-,-,-,-,11.95,6.95,1.95,-,-,-,-,-,-,-,-
3511,3515,12.10,-,-,-,-,-,-,-,-,-,-,-,12.10,7.10,2.10,-,-,-,-,-,-,-,-
3516,3520,12.25,-,-,-,-,-,-,-,-,-,-,-,12.25,7.25,2.25,-,-,-,-,-,-,-,-
3521,3525,12.40,-,-,-,-,-,-,-,-,-,-,-,12.40,7.40,2.40,-,-,-,-,-,-,-,-
3526,3530,12.55,-,-,-,-,-,-,-,-,-,-,-,12.55,7.55,2.55,-,-,-,-,-,-,-,-
3531,3535,12.70,-,-,-,-,-,-,-,-,-,-,-,12.70,7.70,2.70,-,-,-,-,-,-,-,-
3536,3540,12.85,-,-,-,-,-,-,-,-,-,-,-,12.85,7.85,2.85,-,-,-,-,-,-,-,-
3541,3545,13.00,-,-,-,-,-,-,-,-,-,-,-,13.00,8.00,3.00,-,-,-,-,-,-,-,-
3546,3550,13.15,-,-,-,-,-,-,-,-,-,-,-,13.15,8.15,3.15,-,-,-,-,-,-,-,-
3551,3555,13.30,-,-,-,-,-,-,-,-,-,-,-,13.30,8.30,3.30,-,-,-,-,-,-,-,-
3556,3560,13.45,-,-,-,-,-,-,-,-,-,-,-,13.45,8.45,3.45,-,-,-,-,-,-,-,-
3561,3565,13.60,-,-,-,-,-,-,-,-,-,-,-,13.60,8.60,3.60,-,-,-,-,-,-,-,-
3566,3570,13.75,-,-,-,-,-,-,-,-,-,-,-,13.75,8.75,3.75,-,-,-,-,-,-,-,-
3571,3575,13.90,-,-,-,-,-,-,-,-,-,-,-,13.90,8.90,3.90,-,-,-,-,-,-,-,-
3576,3580,14.05,-,-,-,-,-,-,-,-,-,-,-,14.05,9.05,4.05,-,-,-,-,-,-,-,-
3581,3585,14.20,-,-,-,-,-,-,-,-,-,-,-,14.20,9.20,4.20,-,-,-,-,-,-,-,-
3586,3590,14.35,-,-,-,-,-,-,-,-,-,-,-,14.35,9.35,4.35,-,-,-,-,-,-,-,-
3591,3595,14.50,-,-,-,-,-,-,-,-,-,-,-,14.50,9.50,4.50,-,-,-,-,-,-,-,-
3596,3600,14.65,-,-,-,-,-,-,-,-,-,-,-,14.65,9.65,4.65,-,-,-,-,-,-,-,-
3601,3605,14.80,-,-,-,-,-,-,-,-,-,-,-,14.80,9.80,4.80,-,-,-,-,-,-,-,-
3606,3610,14.95,-,-,-,-,-,-,-,-,-,-,-,14.95,9.95,4.95,-,-,-,-,-,-,-,-
3611,3615,15.10,-,-,-,-,-,-,-,-,-,-,-,15.10,10.10,5.10,-,-,-,-,-,-,-,-
3616,3620,15.25,-,-,-,-,-,-,-,-,-,-,-,15.25,10.25,5.25,-,-,-,-,-,-,-,-
3621,3625,15.40,-,-,-,-,-,-,-,-,-,-,-,15.40,10.40,5.40,-,-,-,-,-,-,-,-
3626,3630,15.55,-,-,-,-,-,-,-,-,-,-,-,15.55,10.55,5.55,-,-,-,-,-,-,-,-
3631,3635,15.70,-,-,-,-,-,-,-,-,-,-,-,15.70,10.70,5.70,-,-,-,-,-,-,-,-
3636,3640,15.85,-,-,-,-,-,-,-,-,-,-,-,15.85,10.85,5.85,-,-,-,-,-,-,-,-
3641,3645,16.00,-,-,-,-,-,-,-,-,-,-,-,16.00,11.00,6.00,1.00,-,-,-,-,-,-,-
3646,3650,16.15,-,-,-,-,-,-,-,-,-,-,-,16.15,11.15,6.15,1.15,-,-,-,-,-,-,-
3651,3655,16.30,-,-,-,-,-,-,-,-,-,-,-,16.30,11.30,6.30,1.30,-,-,-,-,-,-,-
3656,3660,16.45,-,-,-,-,-,-,-,-,-,-,-,16.45,11.45,6.45,1.45,-,-,-,-,-,-,-
3661,3665,16.60,-,-,-,-,-,-,-,-,-,-,-,16.60,11.60,6.60,1.60,-,-,-,-,-,-,-
3666,3670,50.25,-,-,-,-,-,-,-,-,-,-,-,50.25,11.75,6.75,1.75,-,-,-,-,-,-,-
3671,3675,50.65,-,-,-,-,-,-,-,-,-,-,-,50.65,11.90,6.90,1.90,-,-,-,-,-,-,-
3676,3680,51.05,-,-,-,-,-,-,-,-,-,-,-,51.05,12.05,7.05,2.05,-,-,-,-,-,-,-
3681,3685,51.45,-,-,-,-,-,-,-,-,-,-,-,51.45,12.20,7.20,2.20,-,-,-,-,-,-,-
